0357T,cryopreservation oocyte(s)
6382,Failed attempted abortion complicated by damage to pelvic organs or tissues
6383,Failed attempted abortion complicated by renal failure
6384,Failed attempted abortion complicated by metabolic disorder
6385,Failed attempted abortion complicated by shock
6386,Failed attempted abortion complicated by embolism
6387,Failed attempted abortion with other specified complications
6388,Failed attempted abortion with unspecified complication
6389,Failed attempted abortion without mention of complication
6390,Genital tract and pelvic infection following abortion or ectopic and molar pregnancies
6391,Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies
6392,Damage to pelvic organs and tissues following abortion or ectopic and molar pregnancies
6393,Kidney failure following abortion and ectopic and molar pregnancies
6394,Metabolic disorders following abortion or ectopic and molar pregnancies
6395,Shock following abortion or ectopic and molar pregnancies
6396,Embolism following abortion or ectopic and molar pregnancies
6398,Other specified complications following abortion or ectopic and molar pregnancy
6399,Unspecified complication following abortion or ectopic and molar pregnancy
64000,"Threatened abortion, unspecified as to episode of care or not applicable"
64001,"Threatened abortion, delivered, with or without mention of antepartum condition"
64003,"Threatened abortion, antepartum condition or complication"
64080,"Other specified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable"
64081,"Other specified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition"
64083,"Other specified hemorrhage in early pregnancy, antepartum condition or complication"
64090,"Unspecified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable"
64091,"Unspecified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition"
64093,"Unspecified hemorrhage in early pregnancy, antepartum condition or complication"
64100,"Placenta previa without hemorrhage, unspecified as to episode of care or not applicable"
64101,"Placenta previa without hemorrhage, delivered, with or without mention of antepartum condition"
64103,"Placenta previa without hemorrhage, antepartum condition or complication"
64110,"Hemorrhage from placenta previa, unspecified as to episode of care or not applicable"
64111,"Hemorrhage from placenta previa, delivered, with or without mention of antepartum condition"
64113,"Hemorrhage from placenta previa, antepartum condition or complication"
64120,"Premature separation of placenta, unspecified as to episode of care or not applicable"
64121,"Premature separation of placenta, delivered, with or without mention of antepartum condition"
64123,"Premature separation of placenta, antepartum condition or complication"
64130,"Antepartum hemorrhage associated with coagulation defects, unspecified as to episode of care or not applicable"
64131,"Antepartum hemorrhage associated with coagulation defects, delivered, with or without mention of antepartum condition"
64133,"Antepartum hemorrhage associated with coagulation defects, antepartum condition or complication"
64180,"Other antepartum hemorrhage, unspecified as to episode of care or not applicable"
64181,"Other antepartum hemorrhage, delivered, with or without mention of antepartum condition"
64183,"Other antepartum hemorrhage, antepartum condition or complication"
64190,"Unspecified antepartum hemorrhage, unspecified as to episode of care or not applicable"
64191,"Unspecified antepartum hemorrhage, delivered, with or without mention of antepartum condition"
64193,"Unspecified antepartum hemorrhage, antepartum condition or complication"
64200,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
64201,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
64202,"Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication"
64203,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
64204,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication"
64210,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
64211,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
64212,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication"
64213,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
64214,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication"
64220,"Other pre-existing hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
64221,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
64222,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication"
64223,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
64224,"Other pre-existing hypertension,complicating pregnancy, childbirth, and the puerperium, , postpartum condition or complication"
64230,"Transient hypertension of pregnancy, unspecified as to episode of care or not applicable"
64231,"Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition"
64232,"Transient hypertension of pregnancy, delivered, with mention of postpartum complication"
64233,"Transient hypertension of pregnancy, antepartum condition or complication"
64234,"Transient hypertension of pregnancy, postpartum condition or complication"
64240,"Mild or unspecified pre-eclampsia, unspecified as to episode of care or not applicable"
64241,"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition"
64242,"Mild or unspecified pre-eclampsia, delivered, with mention of postpartum complication"
64243,"Mild or unspecified pre-eclampsia, antepartum condition or complication"
64244,"Mild or unspecified pre-eclampsia, postpartum condition or complication"
64250,"Severe pre-eclampsia, unspecified as to episode of care or not applicable"
64251,"Severe pre-eclampsia, delivered, with or without mention of antepartum condition"
64252,"Severe pre-eclampsia, delivered, with mention of postpartum complication"
64253,"Severe pre-eclampsia, antepartum condition or complication"
64254,"Severe pre-eclampsia, postpartum condition or complication"
64260,"Eclampsia, unspecified as to episode of care or not applicable"
64261,"Eclampsia, delivered, with or without mention of antepartum condition"
64262,"Eclampsia, delivered, with mention of postpartum complication"
64263,"Eclampsia, antepartum condition or complication"
64264,"Eclampsia, postpartum condition or complication"
64270,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, unspecified as to episode of care or not applicable"
64271,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with or without mention of antepartum condition"
64272,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with mention of postpartum complication"
64273,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, antepartum condition or complication"
64274,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication"
64290,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
64291,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
64292,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
64293,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
64294,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
64300,"Mild hyperemesis gravidarum, unspecified as to episode of care or not applicable"
64301,"Mild hyperemesis gravidarum, delivered, with or without mention of antepartum condition"
64303,"Mild hyperemesis gravidarum, antepartum condition or complication"
64310,"Hyperemesis gravidarum with metabolic disturbance, unspecified as to episode of care or not applicable"
64311,"Hyperemesis gravidarum with metabolic disturbance, delivered, with or without mention of antepartum condition"
64313,"Hyperemesis gravidarum with metabolic disturbance, antepartum condition or complication"
64320,"Late vomiting of pregnancy, unspecified as to episode of care or not applicable"
64321,"Late vomiting of pregnancy, delivered, with or without mention of antepartum condition"
64323,"Late vomiting of pregnancy, antepartum condition or complication"
64380,"Other vomiting complicating pregnancy, unspecified as to episode of care or not applicable"
64381,"Other vomiting complicating pregnancy, delivered, with or without mention of antepartum condition"
64383,"Other vomiting complicating pregnancy, antepartum condition or complication"
64390,"Unspecified vomiting of pregnancy, unspecified as to episode of care or not applicable"
64391,"Unspecified vomiting of pregnancy, delivered, with or without mention of antepartum condition"
64393,"Unspecified vomiting of pregnancy, antepartum condition or complication"
64400,"Threatened premature labor, unspecified as to episode of care or not applicable"
64403,"Threatened premature labor, antepartum condition or complication"
64410,"Other threatened labor, unspecified as to episode of care or not applicable"
64413,"Other threatened labor, antepartum condition or complication"
64420,"Early onset of delivery, unspecified as to episode of care or not applicable"
64421,"Early onset of delivery, delivered, with or without mention of antepartum condition"
64510,"Post term pregnancy, unspecified as to episode of care or not applicable"
64511,"Post term pregnancy, delivered, with or without mention of antepartum condition"
64513,"Post term pregnancy, antepartum condition or complication"
64520,"Prolonged pregnancy, unspecified as to episode of care or not applicable"
64521,"Prolonged pregnancy, delivered, with or without mention of antepartum condition"
64523,"Prolonged pregnancy, antepartum condition or complication"
64600,"Papyraceous fetus, unspecified as to episode of care or not applicable"
64601,"Papyraceous fetus, delivered, with or without mention of antepartum condition"
64603,"Papyraceous fetus, antepartum condition or complication"
64610,"Edema or excessive weight gain in pregnancy, without mention of hypertension, unspecified as to episode of care or not applicable"
